$map << EOD
0.63 -0.03 50.99
0.72 -0.01 45.85
0.69 -0.11 46.25


0.19 0.38 77.05
0.25 0.47 76.49
0.28 0.36 74.24
0.19 0.38 77.05


0.36 -0.65 49.64
0.25 -0.60 56.96
0.33 -0.55 53.83
0.36 -0.65 49.64


0.25 -0.60 56.96
0.26 -0.49 59.19
0.33 -0.55 53.83
0.25 -0.60 56.96


-0.14 0.21 84.69
-0.18 0.25 85.24
-0.13 0.25 85.30
-0.14 0.21 84.69


0.68 0.08 50.99
0.81 0.07 41.13
0.72 -0.01 45.85
0.68 0.08 50.99


-0.17 0.07 85.22
-0.20 0.10 85.72
-0.14 0.11 84.25
-0.17 0.07 85.22


-0.07 -0.24 80.12
-0.02 -0.19 78.15
-0.03 -0.27 78.07
-0.07 -0.24 80.12


0.42 0.75 85.72
0.50 0.80 100.00
0.48 0.69 82.67
0.42 0.75 85.72


0.25 0.47 76.49
0.33 0.43 74.30
0.28 0.36 74.24
0.25 0.47 76.49


-0.17 0.07 85.22
-0.11 0.04 83.20
-0.17 0.02 85.45
-0.17 0.07 85.22


-0.24 -0.25 85.03
-0.25 -0.20 84.83
-0.21 -0.22 84.52
-0.24 -0.25 85.03


0.35 -0.35 57.84
0.33 -0.25 60.47
0.42 -0.28 56.17
0.35 -0.35 57.84


-0.25 0.10 87.15
-0.23 0.15 85.52
-0.20 0.10 85.72
-0.25 0.10 87.15


-0.07 -0.24 80.12
-0.10 -0.18 81.26
-0.02 -0.19 78.15
-0.07 -0.24 80.12


-0.18 0.25 85.24
-0.15 0.30 86.73
-0.13 0.25 85.30
-0.18 0.25 85.24


0.24 -0.32 63.57
0.35 -0.35 57.84
0.28 -0.40 60.20
0.24 -0.32 63.57


0.75 -0.42 42.26
0.69 -0.52 40.13
0.66 -0.43 43.42
0.75 -0.42 42.26


0.38 0.10 65.24
0.35 0.19 68.43
0.45 0.17 64.03
0.38 0.10 65.24


0.03 0.38 83.77
-0.03 0.33 85.86
-0.04 0.39 88.90
0.03 0.38 83.77


0.35 0.19 68.43
0.26 0.21 72.09
0.31 0.27 71.54
0.35 0.19 68.43


-0.09 0.21 83.90
-0.14 0.21 84.69
-0.13 0.25 85.30
-0.09 0.21 83.90


-0.27 -0.10 87.31
-0.24 -0.06 87.95
-0.23 -0.12 86.00
-0.27 -0.10 87.31


-0.26 -0.15 85.57
-0.27 -0.10 87.31
-0.23 -0.12 86.00
-0.26 -0.15 85.57


-0.21 -0.35 90.36
-0.22 -0.30 86.42
-0.18 -0.32 86.91
-0.21 -0.35 90.36


0.20 0.53 77.78
0.20 0.60 77.70
0.27 0.57 77.37
0.20 0.53 77.78


0.65 0.31 61.18
0.59 0.23 60.40
0.56 0.31 64.31
0.65 0.31 61.18


0.11 0.38 79.79
0.19 0.38 77.05
0.16 0.31 77.35
0.11 0.38 79.79


0.69 0.50 68.16
0.75 0.40 61.76
0.65 0.42 65.44
0.69 0.50 68.16


-0.09 -0.03 82.16
-0.13 -0.08 83.17
-0.15 -0.03 84.37
-0.09 -0.03 82.16


-0.11 0.16 83.69
-0.09 0.11 82.72
-0.14 0.11 84.25
-0.11 0.16 83.69


0.85 -0.40 41.84
0.81 -0.50 40.36
0.75 -0.42 42.26
0.85 -0.40 41.84


0.35 0.70 80.07
0.42 0.75 85.72
0.42 0.67 81.00
0.35 0.70 80.07


0.45 0.17 64.03
0.35 0.19 68.43
0.41 0.26 67.79
0.45 0.17 64.03


0.19 0.38 77.05
0.23 0.30 74.61
0.16 0.31 77.35
0.19 0.38 77.05


-0.15 -0.36 88.81
-0.21 -0.35 90.36
-0.18 -0.32 86.91
-0.15 -0.36 88.81


-0.18 -0.26 84.85
-0.24 -0.25 85.03
-0.21 -0.22 84.52
-0.18 -0.26 84.85


0.20 0.60 77.70
0.27 0.65 78.06
0.27 0.57 77.37
0.20 0.60 77.70


0.26 0.21 72.09
0.23 0.30 74.61
0.31 0.27 71.54
0.26 0.21 72.09


0.69 -0.52 40.13
0.59 -0.48 44.11
0.66 -0.43 43.42
0.69 -0.52 40.13


0.01 -0.01 78.10
-0.03 -0.06 79.54
-0.05 -0.00 80.64
0.01 -0.01 78.10


-0.15 -0.15 83.21
-0.13 -0.08 83.17
-0.10 -0.13 81.80
-0.15 -0.15 83.21


-0.13 -0.08 83.17
-0.09 -0.03 82.16
-0.08 -0.08 81.16
-0.13 -0.08 83.17


-0.22 -0.30 86.42
-0.18 -0.26 84.85
-0.18 -0.32 86.91
-0.22 -0.30 86.42


0.11 0.38 79.79
0.03 0.38 83.77
0.07 0.43 81.32
0.11 0.38 79.79


0.34 0.52 76.02
0.36 0.61 78.05
0.41 0.54 75.72
0.34 0.52 76.02


0.23 0.30 74.61
0.26 0.21 72.09
0.18 0.23 75.21
0.23 0.30 74.61


-0.10 -0.18 81.26
-0.05 -0.12 79.57
-0.02 -0.19 78.15
-0.10 -0.18 81.26


-0.09 -0.03 82.16
-0.03 -0.06 79.54
-0.08 -0.08 81.16
-0.09 -0.03 82.16


0.23 0.30 74.61
0.19 0.38 77.05
0.28 0.36 74.24
0.23 0.30 74.61


-0.13 0.35 89.84
-0.10 0.40 100.00
-0.07 0.35 89.62
-0.13 0.35 89.84


0.59 -0.48 44.11
0.58 -0.39 46.97
0.66 -0.43 43.42
0.59 -0.48 44.11


0.08 -0.06 74.83
0.06 -0.15 74.70
0.01 -0.10 77.19
0.08 -0.06 74.83


0.57 0.40 67.28
0.47 0.36 68.76
0.49 0.43 70.58
0.57 0.40 67.28


-0.05 -0.12 79.57
-0.03 -0.06 79.54
0.01 -0.10 77.19
-0.05 -0.12 79.57


-0.15 -0.03 84.37
-0.20 -0.02 87.03
-0.17 0.02 85.45
-0.15 -0.03 84.37


0.36 0.61 78.05
0.35 0.70 80.07
0.42 0.67 81.00
0.36 0.61 78.05


-0.24 -0.06 87.95
-0.19 -0.09 85.16
-0.23 -0.12 86.00
-0.24 -0.06 87.95


0.47 0.36 68.76
0.42 0.46 73.11
0.49 0.43 70.58
0.47 0.36 68.76


0.63 -0.03 50.99
0.68 0.08 50.99
0.72 -0.01 45.85
0.63 -0.03 50.99


-0.17 0.16 84.80
-0.14 0.21 84.69
-0.11 0.16 83.69
-0.17 0.16 84.80


-0.02 -0.19 78.15
0.02 -0.23 75.67
-0.03 -0.27 78.07
-0.02 -0.19 78.15


0.49 -0.21 54.57
0.57 -0.13 51.85
0.57 -0.23 50.52
0.49 -0.21 54.57


0.78 0.17 49.04
0.68 0.18 54.82
0.73 0.27 56.27
0.78 0.17 49.04


-0.03 -0.06 79.54
-0.09 -0.03 82.16
-0.05 -0.00 80.64
-0.03 -0.06 79.54


0.07 0.04 76.43
0.01 -0.01 78.10
0.01 0.06 78.86
0.07 0.04 76.43


0.36 0.61 78.05
0.46 0.60 77.84
0.41 0.54 75.72
0.36 0.61 78.05


-0.03 0.45 85.56
0.03 0.38 83.77
-0.04 0.39 88.90
-0.03 0.45 85.56


-0.04 0.05 80.78
-0.03 0.10 80.82
0.01 0.06 78.86
-0.04 0.05 80.78


-0.10 -0.18 81.26
-0.15 -0.15 83.21
-0.10 -0.13 81.80
-0.10 -0.18 81.26


0.46 0.60 77.84
0.36 0.61 78.05
0.42 0.67 81.00
0.46 0.60 77.84


-0.03 -0.06 79.54
-0.05 -0.12 79.57
-0.08 -0.08 81.16
-0.03 -0.06 79.54


0.44 -0.11 58.51
0.49 -0.21 54.57
0.41 -0.19 58.17
0.44 -0.11 58.51


0.33 -0.25 60.47
0.41 -0.19 58.17
0.42 -0.28 56.17
0.33 -0.25 60.47


0.50 0.24 63.90
0.45 0.17 64.03
0.41 0.26 67.79
0.50 0.24 63.90


0.65 0.42 65.44
0.57 0.40 67.28
0.60 0.49 70.27
0.65 0.42 65.44


-0.16 -0.20 83.47
-0.18 -0.26 84.85
-0.21 -0.22 84.52
-0.16 -0.20 83.47


0.59 0.23 60.40
0.50 0.24 63.90
0.56 0.31 64.31
0.59 0.23 60.40


0.12 0.24 77.76
0.16 0.31 77.35
0.18 0.23 75.21
0.12 0.24 77.76


0.04 0.11 78.41
0.07 0.04 76.43
0.01 0.06 78.86
0.04 0.11 78.41


-0.05 -0.12 79.57
-0.10 -0.18 81.26
-0.10 -0.13 81.80
-0.05 -0.12 79.57


0.16 0.31 77.35
0.23 0.30 74.61
0.18 0.23 75.21
0.16 0.31 77.35


-0.14 0.21 84.69
-0.09 0.21 83.90
-0.11 0.16 83.69
-0.14 0.21 84.69


0.69 -0.35 44.55
0.75 -0.42 42.26
0.66 -0.43 43.42
0.69 -0.35 44.55


-0.15 -0.36 88.81
-0.14 -0.31 84.52
-0.10 -0.35 82.78
-0.15 -0.36 88.81


0.33 -0.25 60.47
0.34 -0.16 62.02
0.41 -0.19 58.17
0.33 -0.25 60.47


-0.14 -0.31 84.52
-0.15 -0.36 88.81
-0.18 -0.32 86.91
-0.14 -0.31 84.52


-0.10 0.40 100.00
-0.04 0.39 88.90
-0.07 0.35 89.62
-0.10 0.40 100.00


0.56 -0.64 38.11
0.48 -0.56 45.96
0.60 -0.56 40.57
0.56 -0.64 38.11


0.42 0.67 81.00
0.42 0.75 85.72
0.48 0.69 82.67
0.42 0.67 81.00


0.65 -0.61 35.70
0.56 -0.64 38.11
0.60 -0.56 40.57
0.65 -0.61 35.70


-0.08 -0.08 81.16
-0.05 -0.12 79.57
-0.10 -0.13 81.80
-0.08 -0.08 81.16


-0.10 -0.35 82.78
-0.14 -0.31 84.52
-0.08 -0.29 81.13
-0.10 -0.35 82.78


-0.13 -0.08 83.17
-0.08 -0.08 81.16
-0.10 -0.13 81.80
-0.13 -0.08 83.17


0.69 0.50 68.16
0.65 0.42 65.44
0.60 0.49 70.27
0.69 0.50 68.16


0.43 -0.36 53.92
0.35 -0.35 57.84
0.42 -0.28 56.17
0.43 -0.36 53.92


-0.08 -0.29 81.13
-0.14 -0.31 84.52
-0.12 -0.25 82.53
-0.08 -0.29 81.13


-0.04 0.39 88.90
-0.03 0.33 85.86
-0.07 0.35 89.62
-0.04 0.39 88.90


-0.03 -0.35 78.21
-0.08 -0.29 81.13
-0.03 -0.27 78.07
-0.03 -0.35 78.21


0.50 -0.30 52.05
0.43 -0.36 53.92
0.42 -0.28 56.17
0.50 -0.30 52.05


-0.07 -0.24 80.12
-0.08 -0.29 81.13
-0.12 -0.25 82.53
-0.07 -0.24 80.12


-0.08 -0.29 81.13
-0.07 -0.24 80.12
-0.03 -0.27 78.07
-0.08 -0.29 81.13


-0.03 -0.35 78.21
-0.10 -0.35 82.78
-0.08 -0.29 81.13
-0.03 -0.35 78.21


-0.09 -0.45 80.11
-0.20 -0.40 100.00
-0.15 -0.36 88.81
-0.09 -0.45 80.11


EOD


set term epslatex size 5.5,4
set output "test3.tex"

unset key
set xlabel "$x$"
set ylabel "$y$"
set zlabel "heat ($u$)" rotate by 90
set title "Result of Heat Problem"

splot $map with lines

unset output
